Item,Competency,Type,Started,Finished,Notes,Links
AWS Solutions Architect,2,Course,2020-06-01,,Long course,Udemy
Bayesian Methods for Hackers,1,Tutorial,2020-05-01,2020-08-01,Github,
CS50x,2,Course,2021-09-01,2021-11-05,Great course; even though there was many things I already knew the framing and filling of gaps was valuable,
Computer Science Distilled,2,Book,2021-03-03,2021-05-25,Clear concise book for core computer science topics,
Java Spring Boot Master Class,2,Course,2021-02-11,2021-05-05,,Udemy
Coursera NLP Specialization,1,2020-05-07,2020-11-12,Course,,
Transformers From Scratch,1,Tutorial,,,,https://e2eml.school/transformers.html
